Filename,Word Count
Episod pentru suveraniști + ce nu vor să vadă ceilalți + “NU candidez!” ｜ Starea Impostorilor #102_transcript.txt,3484
Episode97_transcript.txt,4402
"Eșecul USR-REPER, explicat la linie. Fără aroganți în funcții de conducere! ｜ Starea Impostorilor 65_transcript.txt",3774
"Experți în falimente și agrafe, manageri la stat. Trăiască nașul Ciolacu! ｜ Starea Impostorilor #45_transcript.txt",917
"Fătăloaica Dana Budeanu, propagandista lui Ciolacu. Cu doctorat la Londra 😱 ｜ Starea Impostorilor 66_transcript.txt",4545
"Fiu de slugă ceaușistă, coleg cu Secu-Isărescu. Azi： senator PSD și rector ｜ Starea Impostorilor #43_transcript.txt",333
"Gabriela Firea： zărpălatecă, zăpăcitoare, impostoare. Produsul Securității ｜ Starea Impostorilor #52_transcript.txt",2847
Gen. Chelaru： de la școala hiperboreană și uniteismul dacic la controlul SIE. Starea Impostorilor 89_transcript.txt,4135
"Genialul Nicușor Dan și porcii lui zburători. Trădări, afaceri, compromisuri. Starea Impostorilor 96_transcript.txt",4632
"George Scripcaru, acest Piedone de Brașov + Interviu cu Allen Coliban, USR ｜ Starea Impostorilor #63_transcript.txt",4812
"Georgescu, Tucă, Cristoiu, vampirii energetici și geometria sacră a planetei. Starea Impostorilor 91_transcript.txt",4844
Gheorghe Flutur și rețeaua lui de fluturași. Au inventat pupinfluturismul ｜ Starea Impostorilor #62_transcript.txt,3656
Impostura academică în facultățile de medicină. Fabrici de diplome și bani ｜ Starea Impostorilor #42_transcript.txt,1158
Ipocrizia și cultul personalității la USR. Scârba din Reper. Jos epoleții! ｜ Starea Impostorilor #47_transcript.txt,1176
"Lia Olguța Vadimescu. Primul model de Șoșoacă. 100_ furculision, infecsion ｜ Starea Impostorilor #55_transcript.txt",3535
"Nicolae Ciucă, impostor de elită, patru stele. Scrie cum vorbește peștele ｜ Starea Impostorilor #67_transcript.txt",2905
Piedone (2). Un geniu al comediei： a inventat societatea civilă a Armatei 😂｜ Starea Impostorilor 56_transcript.txt,3991
"Piedone. Un munte de ipocrizie, mitomanie, megalomanie, șmecherie, nepotism ｜ Starea Impostorilor 51_transcript.txt",2574
"Recapitulare Marcel Ciolacu. Nepot, engleză, melci, minciuni, Simion, Simona. Starea Impostorilor 78_transcript.txt",3591
"Rețeaua nemafiotă „Frații PSD Stănescu”. Ultimul episod, deși meritau 100. ｜ Starea Impostorilor #35_transcript.txt",1923
"Review Mircea Geoană. Antecedente, anturaj, tupeu, ipocrizie, sinecuri, vomă. Starea Impostorilor 71_transcript.txt",3432
"Robert Negoiță, nepotul Securității. Mitoman, arivist, plagiator, tupeist ｜ Starea Impostorilor #53_transcript.txt",3342
"Sebastian Burduja. Minciunile despre studiile lui. Calul, paloșul și Kentul ｜ Starea Impostorilor 72_transcript.txt",2635
Sfântul Divin Georgescu Nino-Nino. Urări de la fani. Adam și Eva erau români？ Starea Impostorilor 86_transcript.txt,4825
Sonatul Călin Georgescu. De la delfinii împușcați la căprioara epilată ｜ Starea Impostorilor #81_transcript.txt,4753
Starea Impostorilor cu Valeriu Nicolae_transcript.txt,126
"Surpriză. Tatăl politician securist, copiii în PSD, aranjați pe trei vieți ｜ Starea Impostorilor #36_transcript.txt",1117
"Șarlatanii care ne dau România înapoi： Georgescu, Neamțu, Becali, Funar ｜ Starea Impostorilor #83_transcript.txt",3626
Trupele speciale de băieți deștepți. Termite de partid și de stat. Sictir! ｜ Starea Impostorilor #46_transcript.txt,885
"ULTIMA pe 2024. Cu ursul împăiat, prorusul cel sonat și autorul încrâncenat ｜ Starea Impostorilor 82_transcript.txt",3379
"Valeriu, regele Suediei! Cleptocrație+prostocrație+nepotism=capitalism PSD ｜ Starea Impostorilor #41_transcript.txt",1180
"Victor Ponta, cel mai magnific dintre candidați. Simțit, cult, imaculat 🙃! Starea Impostorilor #95_transcript.txt",4476
"Votăm ca cizmele. Bolojan, marele învins. Jigodii, fanatism, furci, topoare! Starea Impostorilor 100_transcript.txt",3868
temp_audio_transcript.txt,4498
